sheet_sub_id,width,height,webaudio,browser,browser_version,mobile,os,fullscreen,vsync_rate,webcam,microphone,trial_type,trial_index,time_elapsed,internal_node_id,subject_id,study_id,session_id,date_time,rt,stimulus,response,experiment
44,,,,,,,,,,,,video-button-response,16,328631,0.0-16.0,5a78b50d5292b80001228479,636e2a29b9410d781bec59f3,636e416def3330edad164076,,21806,"[""""tsg_comb/TestSeq003_3-GD_v13_000-SG_000-A.mp4""""]",2,2
44,,,,,,,,,,,,video-button-response,11,288513,0.0-11.0,5bec91e66cb00e00015b8a7b,636e2a29b9410d781bec59f3,636e416cbea6fad1df74e5a3,,22557,"[""""tsg_comb/TestSeq004_2-GD_v13_000-GT-A.mp4""""]",2,2
44,,,,,,,,,,,,video-button-response,16,365897,0.0-16.0,60e85190b9cffd8fed0a064f,636e2a29b9410d781bec59f3,636e41694e80a20e93ada151,,23426,"[""""tsg_comb/TestSeq004_1-GD_v13_000-SG_000-B.mp4""""]",3,2
44,,,,,,,,,,,,video-button-response,15,329648,0.0-15.0,6064e0c468bd2b84f807b924,636e2a29b9410d781bec59f3,636e416f3e1a5e5130a763fe,,45281,"[""""tsg_comb/TestSeq006_6-GT-SG_000-B.mp4""""]",4,2
44,,,,,,,,,,,,video-button-response,15,369824,0.0-15.0,5eff07d279c81803541503a8,636e2a29b9410d781bec59f3,636e41673c87fa0197937748,,22695,"[""""tsg_comb/TestSeq006_1-GDDW_000-SG_000-A.mp4""""]",2,2
44,,,,,,,,,,,,video-button-response,17,356803,0.0-17.0,58bfee7de5869400018f5e9e,636e2a29b9410d781bec59f3,636e416a52554130951d0af0,,22101,"[""""tsg_comb/TestSeq002_3-GDDW_000-SG_000-B.mp4""""]",0,2
44,,,,,,,,,,,,video-button-response,17,378150,0.0-17.0,5ae5a3ff3ab2fb0001ef2b91,636e2a29b9410d781bec59f3,636e416818d8079635044436,,34628,"[""""tsg_comb/TestSeq002_2-GD_v13_000-SG_000-A.mp4""""]",2,2
44,,,,,,,,,,,,video-button-response,16,373904,0.0-16.0,60cce9e5db3f76eabb186870,636e2a29b9410d781bec59f3,636e416e7a3f7d942d689ac9,,20925,"[""""tsg_comb/TestSeq004_1-GD_v13_000-SG_000-B.mp4""""]",3,2
44,,,,,,,,,,,,video-button-response,9,188780,0.0-9.0,5e9027110aacc7320bd9a84b,636e2a29b9410d781bec59f3,636e416f23b1f407cdc8db55,,22891,"[""""tsg_comb/TestSeq003_4-GDDW_000-GT-B.mp4""""]",3,2
44,,,,,,,,,,,,html-button-response,1,373840,0.0-1.0,608a98cff4761037d7b67d8a,636e2a29b9410d781bec59f3,636e416e7948dcff2c99e266,"11/11/2022, 12:41:15","372779"",",,,2
44,,,,,,,,,,,,video-button-response,14,367720,0.0-14.0,5eaaee8903ea9906ba49f7db,636e2a29b9410d781bec59f3,636e416a0d3847fed9af90ec,,25614,"[""""tsg_comb/TestSeq006_3-GDDW_000-GT-A.mp4""""]",2,2
44,,,,,,,,,,,,video-button-response,14,378438,0.0-14.0,60ec003195a012028e8b2879,636e2a29b9410d781bec59f3,636e416d1b79dcbbb29a4373,,21725,"[""""tsg_comb/TestSeq004_7-GDDW_000-GD_v13_000-B.mp4""""]",1,2
44,,,,,,,,,,,,video-button-response,13,383679,0.0-13.0,62da634e06750be929c61f75,636e2a29b9410d781bec59f3,636e41696c9c80c7fc78b253,,25003,"[""""tsg_comb/TestSeq006_4-GDDW_000-SG_000-B.mp4""""]",1,2
44,,,,,,,,,,,,video-button-response,15,386316,0.0-15.0,601492777b72a04ce67e2f6d,636e2a29b9410d781bec59f3,636e416ecf447e09e39a43ab,,21397,"[""""tsg_comb/TestSeq003_5-GDDW_000-SG_000-A.mp4""""]",3,2
44,,,,,,,,,,,,video-button-response,9,386825,0.0-9.0,5ef4860d22eb1d04bbcd9586,636e2a29b9410d781bec59f3,636e416b3df93bff87689ae2,,21803,"[""""attn/attention1.mp4""""]",4,2
44,,,,,,,,,,,,video-button-response,17,351797,0.0-17.0,5a78b50d5292b80001228479,636e2a29b9410d781bec59f3,636e416def3330edad164076,,23163,"[""""tsg_comb/TestSeq002_1-GDDW_000-GD_v13_000-B.mp4""""]",2,2
44,,,,,,,,,,,,video-button-response,12,310576,0.0-12.0,5bec91e66cb00e00015b8a7b,636e2a29b9410d781bec59f3,636e416cbea6fad1df74e5a3,,22042,"[""""tsg_comb/TestSeq002_5-GD_v13_000-SG_000-B.mp4""""]",3,2
44,,,,,,,,,,,,video-button-response,17,388664,0.0-17.0,60e85190b9cffd8fed0a064f,636e2a29b9410d781bec59f3,636e41694e80a20e93ada151,,22754,"[""""tsg_comb/TestSeq002_2-GD_v13_000-GT-A.mp4""""]",4,2
44,,,,,,,,,,,,video-button-response,16,389196,0.0-16.0,5eff07d279c81803541503a8,636e2a29b9410d781bec59f3,636e41673c87fa0197937748,,19355,"[""""tsg_comb/TestSeq003_6-GD_v13_000-SG_000-B.mp4""""]",1,2
44,,,,,,,,,,,,video-button-response,16,350584,0.0-16.0,6064e0c468bd2b84f807b924,636e2a29b9410d781bec59f3,636e416f3e1a5e5130a763fe,,20935,"[""""tsg_comb/TestSeq003_2-GDDW_000-GD_v13_000-B.mp4""""]",2,2
44,,,,,,,,,,,,video-button-response,15,300001,0.0-15.0,5fbf94f2891c55203896f7dc,636e2a29b9410d781bec59f3,636e4168ae435f0ae678b20f,,22170,"[""""tsg_comb/TestSeq006_6-GDDW_000-SG_000-B.mp4""""]",0,2
